timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-07T02:48:38,codecarbon,fba511a2-86ed-4a45-b51f-2fb4351e1072,0.4065990447998047,7.543280184996129e-07,1.855213454500411e-06,7.5,0.0,3.0,8.459667364756266e-07,0,3.378834327061971e-07,1.183850169181824e-06,India,IND,west bengal,,,macOS-12.2.1-x86_64-i386-64bit,3.9.13,2.2.3,4,Intel(R) Core(TM) i5-5350U CPU @ 1.80GHz,,,88.3832,22.518,8.0,machine,N,1.0
2023-06-07T02:51:22,codecarbon,34930907-8ec6-43cb-8b52-e975b498cd79,3.749343872070313,6.966576879528166e-06,1.858078937870631e-06,7.5,0.0,3.0,7.80994345744451e-06,0,3.1234741210937503e-06,1.093341757853826e-05,India,IND,west bengal,,,macOS-12.2.1-x86_64-i386-64bit,3.9.13,2.2.3,4,Intel(R) Core(TM) i5-5350U CPU @ 1.80GHz,,,88.3832,22.518,8.0,machine,N,1.0
2023-06-07T02:57:42,codecarbon,3da065f2-1d08-4f8a-9c51-01562f3bbede,0.3729820251464844,6.922757018011808e-07,1.8560564722369598e-06,7.5,0.0,3.0,7.76316225528717e-07,0,3.1014839808146156e-07,1.0864646236101786e-06,India,IND,west bengal,,,macOS-12.2.1-x86_64-i386-64bit,3.9.13,2.2.3,4,Intel(R) Core(TM) i5-5350U CPU @ 1.80GHz,,,88.3832,22.518,8.0,machine,N,1.0
